row,column,original_value,reason
2,email,N/A,"ambiguous placeholder value - left as-is, please confirm"
2,order_id,?,"ambiguous placeholder value - left as-is, please confirm"
3,signup_date,01/02/2024,"ambiguous date — left as-is, please confirm"
4,signup_date,TBD,unparseable date - left as-is
4,signup_date,TBD,"ambiguous placeholder value - left as-is, please confirm"
5,signup_date,TBD,unparseable date - left as-is
5,signup_date,TBD,"ambiguous placeholder value - left as-is, please confirm"
7,order_id,?,"ambiguous placeholder value - left as-is, please confirm"
8,signup_date,01/02/2024,"ambiguous date — left as-is, please confirm"
9,email,N/A,"ambiguous placeholder value - left as-is, please confirm"
10,signup_date,01/02/2024,"ambiguous date — left as-is, please confirm"
11,signup_date,TBD,unparseable date - left as-is
11,signup_date,TBD,"ambiguous placeholder value - left as-is, please confirm"
12,signup_date,01/02/2024,"ambiguous date — left as-is, please confirm"
12,order_id,?,"ambiguous placeholder value - left as-is, please confirm"
13,signup_date,N/A,unparseable date - left as-is
13,signup_date,N/A,"ambiguous placeholder value - left as-is, please confirm"
16,email,N/A,"ambiguous placeholder value - left as-is, please confirm"
17,signup_date,01/02/2024,"ambiguous date — left as-is, please confirm"
17,order_id,?,"ambiguous placeholder value - left as-is, please confirm"
22,order_id,?,"ambiguous placeholder value - left as-is, please confirm"
23,email,N/A,"ambiguous placeholder value - left as-is, please confirm"
24,signup_date,N/A,unparseable date - left as-is
24,signup_date,N/A,"ambiguous placeholder value - left as-is, please confirm"
27,signup_date,TBD,unparseable date - left as-is
27,signup_date,TBD,"ambiguous placeholder value - left as-is, please confirm"
27,order_id,?,"ambiguous placeholder value - left as-is, please confirm"
29,signup_date,N/A,unparseable date - left as-is
29,signup_date,N/A,"ambiguous placeholder value - left as-is, please confirm"
30,email,N/A,"ambiguous placeholder value - left as-is, please confirm"
30,signup_date,01/02/2024,"ambiguous date — left as-is, please confirm"
32,order_id,?,"ambiguous placeholder value - left as-is, please confirm"
34,signup_date,01/02/2024,"ambiguous date — left as-is, please confirm"
35,signup_date,TBD,unparseable date - left as-is
35,signup_date,TBD,"ambiguous placeholder value - left as-is, please confirm"
37,email,N/A,"ambiguous placeholder value - left as-is, please confirm"
37,order_id,?,"ambiguous placeholder value - left as-is, please confirm"
38,signup_date,TBD,unparseable date - left as-is
38,signup_date,TBD,"ambiguous placeholder value - left as-is, please confirm"
39,signup_date,?,unparseable date - left as-is
39,signup_date,?,"ambiguous placeholder value - left as-is, please confirm"
41,signup_date,01/02/2024,"ambiguous date — left as-is, please confirm"
42,order_id,?,"ambiguous placeholder value - left as-is, please confirm"
44,email,N/A,"ambiguous placeholder value - left as-is, please confirm"
45,signup_date,01/02/2024,"ambiguous date — left as-is, please confirm"
46,signup_date,TBD,unparseable date - left as-is
46,signup_date,TBD,"ambiguous placeholder value - left as-is, please confirm"
47,order_id,?,"ambiguous placeholder value - left as-is, please confirm"
49,signup_date,N/A,unparseable date - left as-is
49,signup_date,N/A,"ambiguous placeholder value - left as-is, please confirm"
50,signup_date,TBD,unparseable date - left as-is
50,signup_date,TBD,"ambiguous placeholder value - left as-is, please confirm"
51,email,N/A,"ambiguous placeholder value - left as-is, please confirm"
51,signup_date,N/A,unparseable date - left as-is
51,signup_date,N/A,"ambiguous placeholder value - left as-is, please confirm"
52,order_id,?,"ambiguous placeholder value - left as-is, please confirm"
57,order_id,?,"ambiguous placeholder value - left as-is, please confirm"
58,email,N/A,"ambiguous placeholder value - left as-is, please confirm"
60,signup_date,?,unparseable date - left as-is
60,signup_date,?,"ambiguous placeholder value - left as-is, please confirm"
62,order_id,?,"ambiguous placeholder value - left as-is, please confirm"
64,signup_date,N/A,unparseable date - left as-is
64,signup_date,N/A,"ambiguous placeholder value - left as-is, please confirm"
65,email,N/A,"ambiguous placeholder value - left as-is, please confirm"
67,order_id,?,"ambiguous placeholder value - left as-is, please confirm"
68,signup_date,TBD,unparseable date - left as-is
68,signup_date,TBD,"ambiguous placeholder value - left as-is, please confirm"
71,signup_date,N/A,unparseable date - left as-is
71,signup_date,N/A,"ambiguous placeholder value - left as-is, please confirm"
72,email,N/A,"ambiguous placeholder value - left as-is, please confirm"
72,order_id,?,"ambiguous placeholder value - left as-is, please confirm"
77,order_id,?,"ambiguous placeholder value - left as-is, please confirm"
79,email,N/A,"ambiguous placeholder value - left as-is, please confirm"
79,signup_date,N/A,unparseable date - left as-is
79,signup_date,N/A,"ambiguous placeholder value - left as-is, please confirm"
80,signup_date,01/02/2024,"ambiguous date — left as-is, please confirm"
82,signup_date,?,unparseable date - left as-is
82,signup_date,?,"ambiguous placeholder value - left as-is, please confirm"
82,order_id,?,"ambiguous placeholder value - left as-is, please confirm"
86,email,N/A,"ambiguous placeholder value - left as-is, please confirm"
87,order_id,?,"ambiguous placeholder value - left as-is, please confirm"
89,signup_date,TBD,unparseable date - left as-is
89,signup_date,TBD,"ambiguous placeholder value - left as-is, please confirm"
90,signup_date,N/A,unparseable date - left as-is
90,signup_date,N/A,"ambiguous placeholder value - left as-is, please confirm"
92,order_id,?,"ambiguous placeholder value - left as-is, please confirm"
93,email,N/A,"ambiguous placeholder value - left as-is, please confirm"
93,signup_date,01/02/2024,"ambiguous date — left as-is, please confirm"
96,signup_date,01/02/2024,"ambiguous date — left as-is, please confirm"
97,signup_date,TBD,unparseable date - left as-is
97,signup_date,TBD,"ambiguous placeholder value - left as-is, please confirm"
97,order_id,?,"ambiguous placeholder value - left as-is, please confirm"
98,signup_date,01/02/2024,"ambiguous date — left as-is, please confirm"
100,email,N/A,"ambiguous placeholder value - left as-is, please confirm"
101,signup_date,N/A,unparseable date - left as-is
101,signup_date,N/A,"ambiguous placeholder value - left as-is, please confirm"
102,signup_date,01/02/2024,"ambiguous date — left as-is, please confirm"
102,order_id,?,"ambiguous placeholder value - left as-is, please confirm"
103,signup_date,TBD,unparseable date - left as-is
103,signup_date,TBD,"ambiguous placeholder value - left as-is, please confirm"
105,signup_date,01/02/2024,"ambiguous date — left as-is, please confirm"
107,email,N/A,"ambiguous placeholder value - left as-is, please confirm"
107,order_id,?,"ambiguous placeholder value - left as-is, please confirm"
109,signup_date,?,unparseable date - left as-is
109,signup_date,?,"ambiguous placeholder value - left as-is, please confirm"
112,order_id,?,"ambiguous placeholder value - left as-is, please confirm"
114,email,N/A,"ambiguous placeholder value - left as-is, please confirm"
114,signup_date,01/02/2024,"ambiguous date — left as-is, please confirm"
116,signup_date,N/A,unparseable date - left as-is
116,signup_date,N/A,"ambiguous placeholder value - left as-is, please confirm"
117,order_id,?,"ambiguous placeholder value - left as-is, please confirm"
121,email,N/A,"ambiguous placeholder value - left as-is, please confirm"
121,signup_date,01/02/2024,"ambiguous date — left as-is, please confirm"
122,signup_date,?,unparseable date - left as-is
122,signup_date,?,"ambiguous placeholder value - left as-is, please confirm"
122,order_id,?,"ambiguous placeholder value - left as-is, please confirm"
126,signup_date,?,unparseable date - left as-is
126,signup_date,?,"ambiguous placeholder value - left as-is, please confirm"
127,signup_date,TBD,unparseable date - left as-is
127,signup_date,TBD,"ambiguous placeholder value - left as-is, please confirm"
127,order_id,?,"ambiguous placeholder value - left as-is, please confirm"
128,email,N/A,"ambiguous placeholder value - left as-is, please confirm"
129,signup_date,?,unparseable date - left as-is
129,signup_date,?,"ambiguous placeholder value - left as-is, please confirm"
130,signup_date,N/A,unparseable date - left as-is
130,signup_date,N/A,"ambiguous placeholder value - left as-is, please confirm"
132,order_id,?,"ambiguous placeholder value - left as-is, please confirm"
134,signup_date,?,unparseable date - left as-is
